CS,alt1_D2E,alt1_D2D,alt1_CD,alt1_CrowdingRed,alt1_CrowdingGreen,alt1_CIL,alt1_CID,alt1_D,alt1_CP,alt2_D2E,alt2_D2D,alt2_CD,alt2_CrowdingRed,alt2_CrowdingGreen,alt2_CIL,alt2_CID,alt2_D,alt2_CP,alt3_D,alt3_time
1,50,70,10,0,1,0,1,10,1,20,0,0,0,0,1,1,0,1,0,8
2,10,30,0,0,1,0,1,25,1,20,0,5,1,0,1,0,10,1,10,8
3,50,70,5,0,0,1,0,25,0,20,0,0,0,1,1,1,10,0,75,3
4,50,0,0,0,0,1,0,25,1,20,70,0,0,1,1,1,75,1,0,8
5,50,0,0,1,0,1,1,75,0,20,70,10,0,0,1,1,0,0,50,3
6,20,0,0,1,0,1,0,25,1,50,70,5,0,1,1,1,75,1,10,3
7,50,0,5,1,0,0,1,25,0,40,10,10,1,0,1,0,75,0,10,3
8,50,0,0,0,1,1,1,10,1,20,30,10,0,0,1,0,50,1,50,8
9,10,30,5,0,1,0,1,50,0,20,0,10,1,0,0,1,10,0,75,8
10,20,0,5,0,0,1,1,25,0,50,70,0,1,0,1,0,10,0,75,8
11,10,10,0,0,1,1,1,0,1,20,0,10,0,0,1,1,75,1,25,8
12,10,10,5,0,1,0,1,75,0,50,70,0,0,0,1,0,50,0,50,3
13,50,0,5,1,0,0,1,10,0,20,70,5,0,0,0,0,10,0,50,3
14,20,70,0,1,0,1,0,25,1,50,0,10,0,1,1,1,75,1,25,8
15,20,0,0,1,0,0,1,0,0,10,10,10,0,1,1,0,10,0,50,3
16,10,10,10,0,0,0,1,0,0,10,30,0,0,0,0,0,50,0,25,8
17,40,10,10,1,0,1,0,0,1,20,70,0,0,0,1,1,50,1,0,3
18,10,10,10,0,0,0,0,0,0,50,70,0,0,1,0,1,50,0,0,8
19,20,70,10,0,1,0,1,10,1,50,0,5,0,0,0,1,10,1,75,3
20,20,30,5,1,0,1,0,10,0,20,70,10,0,0,1,1,25,0,25,3
21,50,0,5,1,0,0,1,10,1,20,30,5,0,1,0,1,50,1,25,3
22,20,70,10,1,0,0,1,10,0,50,0,5,0,1,1,0,25,0,50,3
23,20,30,0,0,0,1,1,25,1,20,70,5,1,0,0,1,50,1,0,3
24,10,10,0,1,0,1,0,75,0,20,0,10,1,0,0,1,50,0,10,8
